Аудитория (как найдено в тексте),Кол-во упоминаний
206-2С,36
404-2б,29
523-2б,27
305-2б,27
502-2б,26
1210-1,26
610-1,24
320-2б,23
324-2б,23
1112-1,23
ит,23
103-2Б,23
306-2б,22
906-1,22
1110-1,22
318-2б,22
508-2б,21
402-2б,21
307-2б,21
402-1,20
408-2б,19
410-2б,19
815-1,19
701-2С,19
1108-1,19
К-class,19
504-2б,18
518-2б,18
404-1,18
306-2С,18
509-2Б,18
420-2б,17
503-2б,17
219-2Б,17
103а-2Б,17
702-1,16
805-1,16
1115-1,16
510-1,16
806-2С,16
204-2С,16
204-2А,16
218-2Б,16
405-2б,15
414-2б,15
506-2с,15
508-1,15
итория,15
510а-2Б,15
502-2С,15
101-2Б,15
504-1,15
412-2б,14
321-2б,14
515-2б,14
511а-2Б,14
УГК,14
514-2б,13
422-2б,13
710-1,13
706-1,13
612-1,13
201-2А,13
102-А,13
501-2А,13
905-1,13
407-2б,12
415-2б,12
517-2б,12
307-2С,12
317-2б,12
704-2С,12
105-2Б,12
512-2Б,12
504-2С,12
503-2С,12
501-2С,12
903-1,12
501-1,12
В-class,12
310-2б,11
526-2б,11
614-1,11
708-1,11
206-2А,11
606-2С,11
509-2А,11
401-2А,11
715-1,11
524-2б,10
516-2б,10
428-2б,10
812-1,10
802-1,10
301-2А,10
604-2С,10
607-2С,10
407-1,10
1005-1,10
405-1,10
B,10
712-1,9
1006-1,9
803-1,9
202-2С,9
809-2А,9
403-2С,9
406-2с,8
902-1,8
А,8
704-2а,8
807-2А,8
805-2А,8
608-2С,8
404-2С,8
IT-room,8
706-2а,7
705-2а,7
507-2Б,7
302-2С,7
404-2А,7
227-2Б,7
230-2б,6
508-2с,6
810-2А,6
118-2Б,6
504-2А,6
506-2А,6
406-2А,6
808-2А,6
707-2С,6
904-2С,6
509а-2Б,6
223-2Б,6
429-2Б,6
907-1,6
1302-1,6
713-1,6
1103-1,6
807-1,6
808-1,6
ита,6
Коворкинг-ЦОС,6
1107-1,5
909-2а,5
429-2б,5
806-1,5
506-2С,5
106-2С,5
407-2А,5
603-2А,5
602-2С,5
511-2Б,5
301-2Б,5
210-2Б,5
323-2Б,5
1308-1,5
1201-1,5
521-2б,4
608-С,4
514-1,4
609-1,4
507-2с,4
202-С,4
208-2С,4
205-2С,4
603-2С,4
605-2А,4
324-2Б,4
504-2Б,4
321-2Б,4
511а,4
103-Б,4
507-2С,4
517-2Б,4
405-2Б,4
405-2С,4
901-1,4
1007-1,4
725-1,4
К,4
406-2С,3
513-2б,3
727-1,3
606-2с,3
ИТ,3
108-2Б,3
306-2А,3
403-2А,3
908-2С,3
706-2С,3
913-1,3
1011-1,3
402-2бс,2
310-2с,2
416-2б,2
906-2а,2
812-2б,2
616-1,2
410-б,2
404-б,2
103-2б,2
707-2с,2
206-2с,2
202-2с,2
703-2а,2
404-2с,2
906-2с,2
322-2б,2
316-2б,2
207-2б,2
225-2б,2
425-2б,2
307-,2
901-2с,2
206-А,2
101-2С,2
102-2А,2
207-2С,2
505-2А,2
409-2А,2
809-А,2
805-2С,2
703-2А,2
908-2А,2
804-2С,2
601-2С,2
408-2Б,2
510а-2Б-2Б,2
320-2Б,2
306-2Б,2
ОНЛАЙН,2
322-2Б,2
230-2Б,2
1205-1,2
1102-1,2
1105-1,2
814-1,2
A-class,2
S-class-,2
S-class,2
803,2
A,2
507-2б,1
4082б,1
4072б,1
508--2б,1
218-2б,1
223-2б,1
809-1,1
429,1
801-1,1
702-2с,1
Жок,1
1006-2б,1
1110,1
727,1
106--1,1
708,1
803--1,1
710,1
614-1с,1
701-2а,1
1008-1,1
407,1
1110--1,1
320-б,1
506-С,1
706-2с,1
204-2с,1
705-2с,1
505-2с,1
505-2бс,1
707-2а,1
5162б,1
515-2Б,1
907-2с,1
907-2а,1
514,1
4142б,1
806с,1
808-2с,1
401-2с,1
701,1
206-2а,1
306-2с,1
105-2б,1
105,1
313,1
403-2б,1
313-2б,1
Ташкентская,1
7072а,1
402--2б,1
305--2б,1
412--2б,1
806-2с,1
ИТОРИИ,1
Жак,1
иторию,1
поменьше,1
307-2А,1
201-2С,1
410-2Б,1
301-2А-2С,1
507-2А,1
402-2Б,1
810-А,1
803-2С,1
706-2А,1
904-2А,1
907-2С,1
124-2Б,1
603-2А-2С,1
223-2Б-2Б,1
511-2Б-2Б,1
221-2Б,1
210а-2Б,1
402-2С,1
523-2Б,1
310-2Б,1
225-2Б,1
425-2Б,1
503-2Б,1
505-2С,1
308-2Б,1
415-2Б,1
911-1,1
1303-1,1
910-1,1
216-2Б,1
1001-1,1
806--1,1
B-class,1
